Rank,Rating,Title,No. of Reviews,Genre,Original Language,Director,Release Date (Streaming),Runtime
24., 97%,The Philadelphia Story,102,"Romance, Comedy",English,GeorgeCukor,"May16, 2000",1h52m
25., 96%,Roma,404,Drama,Spanish,AlfonsoCuarón,"Dec15, 2018",2h15m
26., 98%,Wonder Woman,472,"Action, Fantasy, Adventure",English,PattyJenkins,"Sep26, 2017",2h21m
27., 95%,A Star Is Born,528,"Music, Drama, Romance",English,BradleyCooper,"Feb19, 2019",2h15m
28., 97%,Inside Out,379,"Comedy, Animation, Fantasy, Kids&family",English,PeteDocter,"Nov3, 2015",1h35m
29., 97%,A Quiet Place,387,"Horror, Mystery&thriller",English,JohnKrasinski,"Jul10, 2018",1h30m
30., 97%,One Night in Miami,335,Drama,English,ReginaKing,"Jan15, 2021",1h50m
31., 98%,Eighth Grade,319,"Drama, Comedy",English,BoBurnham,"Oct9, 2018",1h33m
32., 98%,Rebecca,95,Mystery&thriller,English,AlfredHitchcock,"Oct14, 2008",2h10m
33., 99%,Booksmart,378,"Lgbtq+, Comedy",English,OliviaWilde,"Aug20, 2019",1h42m
34., 99%,Logan,424,"Fantasy, Action, Adventure",English,JamesMangold,"Jun20, 2017",2h17m
35., 100%,His Girl Friday,100,Comedy,English,HowardHawks,"Nov21, 2000",1h32m
36., 96%,Portrait of a Lady on Fire (Portrait de la jeune fille en feu),324,"Drama, Romance, Lgbtq+, History",French(France),CélineSciamma,"Apr3, 2020",2h1m
37., 93%,Coco,354,"Adventure, Comedy, Music, Animation",English,LeeUnkrich,"Feb13, 2018",1h49m
38., 90%,Dunkirk,463,"War, Drama, History",English,ChristopherNolan,"Dec12, 2017",1h47m
39., 98%,Star Wars: The Last Jedi,483,"Adventure, Action, Fantasy, Sci-fi",English,RianJohnson,"Mar27, 2018",2h32m
40., 96%,A Night at the Opera,70,Comedy,English,SamWood,"May4, 2004",1h33m
41., 98%,The Shape of Water,460,"Romance, Fantasy",English,GuillermodelToro,"Mar13, 2018",2h3m
42., 99%,Thor: Ragnarok,437,"Action, Adventure, Comedy, Fantasy, Sci-fi",English,TaikaWaititi,"Mar6, 2018",2h10m
43., 100%,Spotlight,376,Drama,English,TomMcCarthy,"Feb23, 2016",2h8m
44., 96%,The Farewell,345,"Drama, Comedy",English,LuluWang,"Aug27, 2019",1h40m
45., 94%,Selma,313,"Drama, History",English,AvaDuVernay,"May5, 2015",2h8m
46., 99%,The Third Man,86,Mystery&thriller,English,CarolReed,"Oct28, 2008",1h44m
47., 98%,Rear Window,122,Mystery&thriller,English,AlfredHitchcock,"Sep7, 2004",1h52m
48., 97%,E.T. The Extra-Terrestrial,136,"Sci-fi, Adventure",English,StevenSpielberg,"Aug23, 2005",1h55m
49., 92%,Seven Samurai (Shichinin no Samurai),88,Action,Japanese,AkiraKurosawa,"Sep5, 2006",3h28m
